DD2[][0],DD2[][1],DD2[][2],DD2[][3],DD2[][4],DD2[][5],DD2[][6],DD2[][7],DD2[][8],DD2[][9],DD2[][10],DD2[][11],DD2[][12],DD2[][13],DD2[][14],DD2[][15],DD2[][16],DD2[][17],DD2[][18],DD2[][19],DD2[][20],DD2[][21],DD2[][22],DD2[][23],DD2[][24],DD2[][25],DD2[][26],DD2[][27],DD2[][28],DD2[][29],DD2[][30],DD2[][31],DD2[][32],DD2[][33],DD2[][34],DD2[][35],DD2[][36],DD2[][37],DD2[][38],DD2[][39],DD2[][40],DD2[][41],DD2[][42],DD2[][43],DD2[][44],DD2[][45],DD2[][46],DD2[][47],DD2[][48],DD2[][49]
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.112261,0.18423,0.324545,-0.157186,-0.011479,-0.111111,0.110919,0.316801,0.227824,0.147272,0.0337872,-0.214379,-0.10195,0.0955711,0.00489792,0.02,-0.108365,0.0886542,-0.221053,-0.0229801,0.114754,-0.153338,-0.266219,0.133432,-0.00284098,-0.0900194,0.068552,-0.126199,0.0196215,0.11175,-0.0765551,-0.0293911,0.0454211,0.13964,0.25193,0.202487,-0.0015464,-0.00614912,-0.0592216,-0.0462658,-0.179079,0.0777272,0.0533597,-0.112478,0.00625744,0.0386387,0.04458,0.251493,-0.0795614,-0.0394306
0.113853,0.145173,0.124922,0.0344312,0.0777042,-0.211934,0.0606586,0.296962,0.241863,0.0284886,0.0368129,-0.18366,-0.00389972,0.157343,0.00408152,-0.04,-0.059886,0.097841,-0.18627,-0.00555965,0.124422,-0.0991407,-0.203579,0.066716,0.0359847,-0.0534899,0.0128534,-0.0693726,0.10021,0.167625,-0.0271133,-0.00349879,0.0424908,0.0945946,0.240702,0.0870337,-0.035567,-0.0276711,-0.0642977,0.00132175,-0.131799,-0.0204546,0.0652174,-0.0773286,0.0332129,0.0146145,-0.0183012,0.189552,-0.0157437,-0.0323139
0.105095,0.152542,0.181419,0.133234,0.150993,-0.115226,-0.0450606,0.305642,0.0504148,0.160792,0.0327787,-0.131372,-0.125348,0.109557,-0.0857142,-0.203,-0.0541825,0.139182,-0.098398,0.0218681,0.0596889,-0.0495704,-0.098434,-0.00222389,-0.00852287,-0.072407,-0.11054,-0.00811802,0.0399439,0.265407,0.0773523,0.0160953,0.0241758,0.0292793,0.280702,0.0219065,-0.0273196,0.0176787,0.0211506,0.0026436,-0.135565,-0.0927273,0.0741107,0.0474518,0.0642599,0.134134,0.103707,0.0671642,-0.00927752,0.00846322
0.0294586,0.199705,0.191463,0.125749,0.434437,-0.0308643,-0.0346621,0.308122,0.00063823,0.45437,0.216339,-0.0437909,-0.0963788,0.0233101,-0.0759183,-0.176,-0.148289,0.141938,-0.0581235,0.0752409,0.00294239,0.0383345,-0.0402685,0.0378057,-0.033144,-0.0965427,-0.145673,0.00516615,-0.0392432,0.230896,0.113237,-0.0335899,-0.0593407,-0.0337838,0.157895,-0.0213144,-0.0340207,0.0699463,-0.0346868,0.0766687,-0.182427,-0.0186364,0.238142,-0.00878735,0.178099,0.233834,0.268888,0.0313433,-0.0258645,0.0419312
0.0843947,0.312454,0.32329,0.258982,0.685651,0.160494,0.228769,0.455673,0.221442,0.97972,0.526979,-0.0117646,0.201114,0.117716,0.0595919,0.117,-0.173004,0.0895728,0.0938216,0.168273,-0.0210173,0.00396568,0.0559284,0.0363232,0.0890151,-0.0919766,-0.104541,-0.0118082,-0.06377,0.132293,0.0295056,-0.0370887,-0.132601,-0.0960961,0.0884211,0.0124334,0.0396907,0.0776326,0.0439932,0.0905485,-0.080753,0.248636,0.296443,0.0254833,0.273646,0.385185,0.574378,0.0350747,0.0134945,0.0178882
0.243631,0.302874,0.421218,0.305389,1.11126,0.375514,0.615251,0.611903,0.531589,1.49252,0.753908,0.182353,0.487465,0.160839,0.383673,0.558,-0.152091,0.129077,0.44714,0.214233,0.0584279,0.0145407,0.108874,0.170497,0.0795455,0.047619,0.126821,0.0701108,0.0560615,0.0147905,-0.0582138,-0.0573827,-0.0520147,0.0683184,-0.0659649,0.0734163,0.114433,0.224443,0.186125,0.193655,0.0728034,0.612273,0.451581,0.0421793,0.408183,0.606206,0.778508,0.0880597,0.0342986,-0.0207732
0.566083,0.33972,0.682361,0.139222,1.23753,0.665638,0.870017,0.982641,0.776643,1.81507,1.15028,0.320915,0.661281,0.278555,0.603265,1.037,-0.0788972,0.353238,0.715332,0.266864,0.239176,0.0475876,0.260999,0.295033,0.0520832,0.142857,0.2982,0.295941,0.19131,0.0386196,-0.0358852,-0.0055981,0.0908424,0.237988,-0.046316,0.151569,0.0757731,0.3505,0.326565,0.258427,0.212134,0.918182,0.532609,0.301406,0.711913,0.936737,1.02206,0.112687,0.00140576,-0.0438546
0.780255,0.478998,0.605776,0.158683,1.37351,0.889917,1.00347,1.20707,0.9515,1.73877,1.42864,0.392157,0.963231,0.573426,0.804082,1.242,0.173954,0.620579,0.848055,0.432543,0.484657,0.169861,0.493661,0.340252,0.178977,0.371168,0.467009,0.55572,0.376314,0.149548,0.0430622,0.0790764,0.209524,0.456456,0.0898244,0.211368,0.0757731,0.358955,0.651438,0.428288,0.402929,1.01727,0.68083,0.476274,1.03105,1.18899,1.14453,0.0216419,0.00843413,-0.0727063
0.757962,0.606485,0.610798,0.0763474,1.34525,1.08333,1.01733,1.22815,0.988513,1.5717,1.58094,0.329412,0.97883,0.671329,0.793469,1.226,0.372623,0.70418,0.846224,0.539659,0.58554,0.250496,0.665921,0.400297,0.153409,0.549902,0.586975,0.738745,0.512964,0.242399,0.0845295,0.243527,0.245421,0.723724,0.201404,0.24926,0.0881443,0.479631,0.835872,0.541308,0.555649,1.08182,0.741107,0.488576,1.20313,1.34995,1.19381,-0.0425373,0.00112463,-0.0769379
