PD1[][0],PD1[][1],PD1[][2],PD1[][3],PD1[][4],PD1[][5],PD1[][6],PD1[][7],PD1[][8],PD1[][9],PD1[][10],PD1[][11],PD1[][12],PD1[][13],PD1[][14],PD1[][15],PD1[][16],PD1[][17],PD1[][18],PD1[][19],PD1[][20],PD1[][21],PD1[][22],PD1[][23],PD1[][24],PD1[][25],PD1[][26],PD1[][27],PD1[][28],PD1[][29],PD1[][30],PD1[][31],PD1[][32],PD1[][33],PD1[][34],PD1[][35],PD1[][36],PD1[][37],PD1[][38],PD1[][39],PD1[][40],PD1[][41],PD1[][42],PD1[][43],PD1[][44],PD1[][45],PD1[][46],PD1[][47],PD1[][48],PD1[][49]
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.154762,0.0672269,0.0750853,-0.414894,0.2,0.0782864,0.0755149,-0.101215,-0.260794,0.0512819,-0.0319001,-0.117318,0.0115385,-0.218,-0.0147601,-0.227733,-0.251648,-0.131257,-0.193501,-0.10381,0.0290322,-0.0694824,-0.179604,-0.111702,-0.115151,-0.234275,-0.22085,0.111243,0.0993883,0.0977836,0.227867,-0.524412,-0.166667,-0.274038,0.0145455,-0.278388,-0.0731384,-0.00217402,-0.186115,-0.153005,0.00588226,-0.0172413,0.433735,0.0845865,-0.0848624,0.0345454,0.0118891,-0.0914286,0.278721,-0.129715
0.097619,0.201681,0.0238908,-0.312057,0.147826,-0.039882,-0.0297483,-0.246964,-0.129534,0.195513,0.0429958,-0.0223463,-0.115385,-0.16,0.099631,-0.0465587,-0.23956,-0.176863,-0.131462,-0.0771428,0.0655913,-0.0231607,-0.115677,-0.0893617,-0.0739391,-0.20237,-0.0768175,0.0639053,0.0366972,0.156454,0.175617,-0.45208,-0.285417,-0.264423,-0.0818182,-0.265568,-0.178191,-0.165217,-0.29099,-0.127505,-0.00588235,-0.0123151,0.268072,0.0695489,-0.0848624,0.0672726,0.019815,-0.0190476,0.250749,-0.0837167
-0.092857,0.109244,0.0887372,-0.198582,-0.262609,-0.0635155,-0.0732266,-0.1417,0.0224526,0.314103,0.104022,0.0474859,-0.0769231,-0.0619999,-0.0455105,0.0394737,-0.147253,-0.124583,0.0782865,-0.0114286,0.166667,-0.0667575,0.118721,-0.0872339,-0.0521211,-0.0720145,-0.068587,-0.0331362,0.0412843,0.0404172,0.13643,-0.453888,-0.295833,-0.189904,-0.0745454,-0.186813,-0.00132985,-0.317391,-0.254062,-0.107468,-0.145098,0.044335,0.198795,0.12406,0.03211,0.0399998,-0.0752973,0.158095,0.058941,-0.022999
0.0333334,0.0336135,0.327645,0.280142,-0.321739,0.361891,-0.0320366,0.0688258,0.19171,0.282051,0.131761,0.329609,0.00769223,0.0520001,-0.0135301,0.0678138,0.0417582,-0.123471,0.169867,0.0428571,0.17957,-0.123978,0.205479,-0.0797871,-0.0448484,0.0783957,-0.178326,0.0426035,-0.0626913,-0.0769231,0.0595067,-0.35443,-0.2,-0.252404,-0.107273,-0.157509,0.0146277,-0.326087,-0.0029543,-0.00910756,-0.203922,0.130542,0.391566,0.131579,0.0963303,0.158182,-0.0224571,0.230476,0.00499494,-0.022999
0.0214286,0.170868,0.40273,0.794326,0.0295652,0.742984,0.0709383,0.62753,0.129534,-0.0352564,0.076283,0.670391,7e-08,0.182,-0.115621,0.0475708,0.206593,-0.0311457,0.257016,0.0819048,0.145161,-0.0776566,0.103501,0.0297874,0.00242429,0.141294,-0.083676,0.093491,-0.126911,-0.0717079,0.00290281,-0.110307,0.0166667,0.206731,0.00727264,0.0824176,0.0558511,-0.126087,0.131462,-0.0491804,-0.101961,0.0541872,0.430723,0.0206768,0.165138,0.334545,0.173052,-0.00761908,-0.126873,0.168353
0.116667,0.344538,0.382253,0.971631,0.266087,1.05613,0.297483,0.890688,0.409326,-0.099359,0.239944,0.801676,0.292308,0.456,0.0713407,0.209514,0.313187,0.189099,0.319054,0.278095,0.15914,0.370572,0.130898,0.152128,0.140606,0.249772,0.303155,0.227219,-0.157492,0.281617,0.0609578,0.307414,0.18125,0.598558,0.403636,0.485348,0.228724,0.115217,0.465288,0.360656,0.0803921,0.157635,0.584337,0.00939845,0.222477,0.378182,0.270806,-0.304762,-0.116883,0.113155
-0.00476185,0.246499,0.679181,1.04965,0.502609,1.31315,0.665904,0.91498,0.782383,-0.147436,0.398058,0.594972,0.592308,0.586,0.220172,0.381579,0.413187,0.428254,0.592319,0.728571,0.382795,0.735695,0.167428,0.29149,0.343031,0.350957,0.624143,0.404734,0.281346,0.687093,0.203193,0.745027,0.572916,0.920673,0.741818,0.644689,0.418883,0.647826,0.930576,0.413479,0.101961,0.26601,0.539157,-0.0319549,0.302752,0.325454,0.307794,-0.337143,-0.00699316,0.00643972
0.0738095,0.372549,0.808874,1.33688,0.363478,1.34269,0.860412,1.02834,1.21416,0.115385,0.730929,0.5,0.707692,0.508,0.452644,0.765182,0.608791,0.60178,1.10487,1.00857,0.62043,1.25477,0.378995,0.311702,0.647273,0.583409,0.854595,0.462722,0.584098,1.06128,0.419449,0.925859,0.629167,1.01683,0.789091,0.617216,0.43484,0.793478,1.15805,0.635701,0.172549,0.283251,0.439759,-0.043233,0.405963,0.369091,0.392338,-0.100953,0.082917,-0.074517
-0.0071429,0.633053,0.805461,1.13121,0.613913,1.18611,1.04805,0.955465,1.33851,0.266026,0.90846,0.365922,0.461539,0.302,0.473555,1.0587,0.865934,0.784205,1.41063,1.09905,0.731183,1.53815,0.592085,0.380851,0.884849,0.966272,0.871056,0.386982,0.844037,1.09126,0.619739,0.779385,0.59375,1.1274,0.967273,0.510989,0.547872,0.778261,1.12851,0.948998,0.0843137,0.610838,0.322289,0.272556,0.59633,0.561818,0.305152,0.0761904,0.276723,-0.024839
